id,Stationsname,Lon,Lat,Höhe [m],Startdatum,Enddatum,Bundesland
160,Waizenkirchen,13.86458,48.32656,400.2,1948-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
161,Reichenau am Mühlkreis,14.34556,48.45917,689.1,1972-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
162,Aspach,13.3,48.18306,427.0,1969-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
163,Mondsee,13.34722,47.85083,480.5,1936-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
164,Berndorf,16.10111,47.93917,337.0,1992-11-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
165,Abtenau,13.34333,47.56667,709.0,1963-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg
166,Hall bei Admont,14.49083,47.59444,637.0,1895-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark
167,Mürzzuschlag,15.67278,47.60222,705.2,1948-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark
169,Pottschach,16.00806,47.70083,416.4,1961-04-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
170,Aspang,16.10139,47.575,454.0,1948-04-23 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
171,Dornbirn,9.72556,47.4325,407.3,1992-04-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg
172,Schoppernau,10.01778,47.31139,839.0,1948-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg
173,Schröcken,10.08611,47.26167,1244.0,1895-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg
174,Mittelberg,10.1525,47.32333,1204.0,1994-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg
175,Innsbruck Flughafen,11.35667,47.25999,578.0,1951-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol
176,Hahnenkamm-Ehrenbachhöhe,12.35928,47.41831,1793.8,1938-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol
177,Uttendorf,12.567778,47.263054,798.7,1961-09-01 00:00:00+00:00,2008-10-31 23:59:59+00:00,Salzburg
178,Hochfilzen,12.62111,47.47028,961.9,2001-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol
179,Ramsau am Dachstein,13.63428,47.42514,1206.8,1991-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark
180,Rechnitz,16.45417,47.30139,308.0,2006-12-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland
181,Bludenz,9.82944,47.14778,571.0,1936-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg
182,Oberwölz,14.28669,47.20206,842.1,1936-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark
183,Güssing,16.32186,47.0625,215.3,1948-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland
184,Pitztaler Gletscher,10.87914,46.92706,2863.9,1989-03-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol
185,St.Jakob im Defereggental,12.35389,46.91694,1383.0,1938-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol
186,Flattnitz,14.03611,46.94083,1437.2,1970-09-01 00:00:00+00:00,2025-04-01 06:00:00+00:00,Kärnten
187,Friesach,14.40583,46.95861,640.0,1958-05-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten
188,Völkermarkt-Goldbrunnhof,14.639167,46.670834,466.0,1950-12-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten
189,Melk,15.33139,48.20972,307.0,1974-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
190,Frankenmarkt,13.42306,47.99139,565.0,2004-03-01 00:00:00+00:00,2017-03-25 23:59:59+00:00,Oberösterreich
191,Japons,15.571389,48.791943,520.0,1953-09-16 00:00:00+00:00,2007-12-31 23:59:59+00:00,Niederösterreich
192,Wachtberg bei Steyr,14.46111,48.0475,384.0,1985-04-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
193,Jauerling,15.33911,48.33447,955.0,1935-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
195,Mittersill,12.495833,47.279167,783.0,2017-12-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg
196,Patscherkofel,11.46222,47.20889,2251.0,1940-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol
197,Seibersdorf,16.504444,47.975,185.0,1961-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
198,Pörtschach,14.16528,46.63083,450.0,1978-05-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten
199,Horn Wasserwerk,15.643888,48.674999,308.0,1936-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
200,Gleisdorf,15.70806,47.11556,377.3,1961-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark
201,Weiz,15.634444,47.218334,465.7,1944-01-01 00:00:00+00:00,2013-05-31 23:59:59+00:00,Steiermark
202,Wörterberg,16.09678,47.22619,403.6,1929-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland
203,Fresach,13.68528,46.71528,683.0,1973-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten
204,Kremsmünster,14.13111,48.055,382.0,1874-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
205,Feuerkogel,13.71778,47.81667,1618.0,1928-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
206,Loibl Tunnel,14.24917,46.44389,1096.9,1959-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten
210,St.Leonhard im Pitztal,10.86556,47.02722,1454.4,1967-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol
213,Sonnblick,12.9575,47.05417,3109.0,1886-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg
214,Söll,12.20028,47.50306,697.0,2015-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol
215,Gars am Kamp,15.7,48.59194,273.0,1999-03-10 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
216,Hittisau,9.953333,47.463055,792.0,1984-12-01 00:00:00+00:00,2008-12-31 23:59:59+00:00,Vorarlberg
217,Kapfenberg Flugfeld,15.33556,47.45833,515.0,1997-03-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark
218,Andau,17.03556,47.77,117.0,1995-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland
220,Gaschurn,10.031667,46.980278,985.0,2007-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg
221,Stockerau,16.190861,48.409833,210.0,1997-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
222,Wolkersdorf,16.508889,48.388056,174.0,2008-07-23 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
500,Litschau,15.03831,48.95464,557.6,1983-11-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
701,Japons,15.571389,48.791943,520.0,1982-11-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Niederösterreich
726,Raabs an der Thaya,15.50194,48.84806,458.5,2008-06-25 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
901,Retz,15.95,48.75361,256.0,1983-11-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
905,Retz,15.94167,48.76111,320.0,1994-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
910,Unterretzbach,15.998611,48.768333,243.0,1994-01-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Niederösterreich
1400,Kollerschlag,13.84,48.60639,725.0,1895-07-01 00:00:00+00:00,2008-06-30 00:00:00+00:00,Oberösterreich
1401,Kollerschlag,13.83917,48.60278,714.0,2008-06-17 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
1415,Rohrbach,13.99406,48.56961,596.9,1994-07-01 00:00:00+00:00,2021-10-31 00:00:00+00:00,Oberösterreich
1416,Rohrbach,14.00444,48.56722,613.0,2021-10-13 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
1601,Freistadt,14.506111,48.506111,549.0,1991-12-01 00:00:00+00:00,2014-08-04 00:00:00+00:00,Oberösterreich
1602,Freistadt,14.50639,48.49472,539.0,2014-03-31 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
1730,Schwarzau im Freiwald,14.739445,48.668056,788.0,2022-10-07 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
